mean0,std0,stdrel0,DP_type,blocker,epsilon,gamma,repetitions
34.5363479358418,3.98332165402291,0.115337083742112,standard_DP,NaiveDataBlocker,0.2,1,30
33.8990667550082,4.24842755045908,0.125325796759034,standard_DP,NaiveDataBlocker,0.2,2,30
34.2410559013155,5.82138631347726,0.170011880774203,standard_DP,NaiveDataBlocker,0.2,3,30
36.0141321857986,7.11156450574478,0.197465941121554,standard_DP,NaiveDataBlocker,0.2,4,30
35.7684055286912,7.32675951457372,0.204838862853326,standard_DP,NaiveDataBlocker,0.2,5,30
33.2773771791136,7.4049022935252,0.222520610734095,standard_DP,NaiveDataBlocker,0.2,6,30
34.1159730883801,1.90432404114378,0.055819133055665,standard_DP,NaiveDataBlocker,0.4,1,30
34.7070925612772,2.69593031729569,0.077676639509227,standard_DP,NaiveDataBlocker,0.4,2,30
34.5716155284334,2.31500083587282,0.066962471972675,standard_DP,NaiveDataBlocker,0.4,3,30
34.6217582969466,3.21546582079813,0.092874134040781,standard_DP,NaiveDataBlocker,0.4,4,30
34.2956324382502,2.1989872483229,0.064118579888626,standard_DP,NaiveDataBlocker,0.4,5,30
34.4254624282792,2.01986909521131,0.058673695361956,standard_DP,NaiveDataBlocker,0.4,6,30
34.4319001159674,1.48069347583357,0.043003536570638,standard_DP,NaiveDataBlocker,0.6,1,30
34.8002501498103,1.81989780200763,0.052295537939331,standard_DP,NaiveDataBlocker,0.6,2,30
34.7848118104062,1.79250252844167,0.051531183730752,standard_DP,NaiveDataBlocker,0.6,3,30
34.8220682044843,1.56199002813088,0.04485632556224,standard_DP,NaiveDataBlocker,0.6,4,30
34.8189228891791,1.86171613188132,0.053468515893118,standard_DP,NaiveDataBlocker,0.6,5,30
34.3269178890933,1.62791666367121,0.047423909974407,standard_DP,NaiveDataBlocker,0.6,6,30
35.3873724322801,2.04291685519601,0.057730108645548,standard_DP,NaiveDataBlocker,0.8,1,30
34.3762992552894,1.39010069660748,0.040437764585541,standard_DP,NaiveDataBlocker,0.8,2,30
34.8008133702454,1.32161231195353,0.03797647767289,standard_DP,NaiveDataBlocker,0.8,3,30
34.33822657683,1.13882731919382,0.033165001012669,standard_DP,NaiveDataBlocker,0.8,4,30
34.5752829854534,1.29208811309145,0.037370283090237,standard_DP,NaiveDataBlocker,0.8,5,30
34.8547947176594,0.829248319352498,0.023791513508251,standard_DP,NaiveDataBlocker,0.8,6,30
34.3336630569658,1.26339625803113,0.036797595873616,standard_DP,NaiveDataBlocker,1,1,30
34.5419233248982,0.682118588246817,0.019747556667035,standard_DP,NaiveDataBlocker,1,2,30
34.6329431188339,1.02338914886764,0.029549586512361,standard_DP,NaiveDataBlocker,1,3,30
34.6806729930803,0.808693576846442,0.023318278079777,standard_DP,NaiveDataBlocker,1,4,30
34.4571848908597,1.25127778827791,0.036313987699263,standard_DP,NaiveDataBlocker,1,5,30
34.7142163513474,1.03539269524262,0.029826186619432,standard_DP,NaiveDataBlocker,1,6,30
34.9799771505545,0.770513189986377,0.022027263959324,standard_DP,NaiveDataBlocker,1.2,1,30
34.6637458063672,0.551560716084489,0.015911745925138,standard_DP,NaiveDataBlocker,1.2,2,30
34.7180840477386,0.93205080045665,0.026846262575292,standard_DP,NaiveDataBlocker,1.2,3,30
34.8484260048389,0.967017438560757,0.027749242919221,standard_DP,NaiveDataBlocker,1.2,4,30
34.680905246579,0.635713081535678,0.018330348559699,standard_DP,NaiveDataBlocker,1.2,5,30
34.3208392029684,0.648197628951713,0.018886415484143,standard_DP,NaiveDataBlocker,1.2,6,30
34.5110154572264,0.680273867635417,0.019711789369935,standard_DP,NaiveDataBlocker,1.4,1,30
34.6347318095638,0.337282229180818,0.009738265941695,standard_DP,NaiveDataBlocker,1.4,2,30
34.4483369064414,0.741849483827866,0.021535132039688,standard_DP,NaiveDataBlocker,1.4,3,30
34.5604749838127,0.807757637597565,0.023372295605772,standard_DP,NaiveDataBlocker,1.4,4,30
34.3627759046318,0.817413818822482,0.023787770263121,standard_DP,NaiveDataBlocker,1.4,5,30
34.7978608748485,0.757427533715307,0.021766496982082,standard_DP,NaiveDataBlocker,1.4,6,30
34.5160951011528,0.624224380663223,0.018085023199579,standard_DP,NaiveDataBlocker,1.6,1,30
34.5685291989327,0.539339494242852,0.015602037655091,standard_DP,NaiveDataBlocker,1.6,2,30
34.5678641095251,0.555417598826284,0.016067454936368,standard_DP,NaiveDataBlocker,1.6,3,30
34.5469718797379,0.704553023541209,0.020394060179684,standard_DP,NaiveDataBlocker,1.6,4,30
34.8685179556608,0.599623715083584,0.017196707810928,standard_DP,NaiveDataBlocker,1.6,5,30
34.4672911832312,0.499671526982887,0.014496976983964,standard_DP,NaiveDataBlocker,1.6,6,30
34.5624125286598,0.471502954581903,0.013642072994497,standard_DP,NaiveDataBlocker,1.8,1,30
34.410835948987,0.590928414295509,0.017172742190034,standard_DP,NaiveDataBlocker,1.8,2,30
34.6454386689018,0.732019839474039,0.021128895104195,standard_DP,NaiveDataBlocker,1.8,3,30
34.8392680796736,0.605796026596444,0.017388310948756,standard_DP,NaiveDataBlocker,1.8,4,30
34.581906194741,0.591639562995769,0.017108356019014,standard_DP,NaiveDataBlocker,1.8,5,30
34.5236772709681,0.642760725446319,0.018617968196187,standard_DP,NaiveDataBlocker,1.8,6,30
34.6644474418606,0.642068730887921,0.018522399122756,standard_DP,NaiveDataBlocker,2,1,30
34.6266829944974,0.501856955934904,0.014493359240175,standard_DP,NaiveDataBlocker,2,2,30
34.6170161402925,0.538862716023281,0.015566411438797,standard_DP,NaiveDataBlocker,2,3,30
34.4044150379713,0.563332220509806,0.016373835157147,standard_DP,NaiveDataBlocker,2,4,30
34.7003601867319,0.510549511287379,0.014713089678032,standard_DP,NaiveDataBlocker,2,5,30
34.6974350155353,0.336360915499134,0.009694114719101,standard_DP,NaiveDataBlocker,2,6,30
34.5553564365285,0.477309687898159,0.013812900144002,standard_DP,NaiveDataBlocker,2.2,1,30
34.4506890796874,0.574463897324033,0.01667496101443,standard_DP,NaiveDataBlocker,2.2,2,30
34.7587775664001,0.422955680818246,0.01216831288184,standard_DP,NaiveDataBlocker,2.2,3,30
34.7218139254644,0.652066185425942,0.018779726970074,standard_DP,NaiveDataBlocker,2.2,4,30
34.7200740401939,0.573179277592827,0.016508584541879,standard_DP,NaiveDataBlocker,2.2,5,30
34.5400554109886,0.487911014133002,0.01412594763753,standard_DP,NaiveDataBlocker,2.2,6,30
34.4925658343102,0.417140489630947,0.0120936346584,standard_DP,NaiveDataBlocker,2.4,1,30
34.6041898923936,0.446622587576736,0.012906604343739,standard_DP,NaiveDataBlocker,2.4,2,30
34.6389057784101,0.39563608694507,0.01142172589042,standard_DP,NaiveDataBlocker,2.4,3,30
34.5422312230288,0.513397778280257,0.014862901442741,standard_DP,NaiveDataBlocker,2.4,4,30
34.636853352197,0.456703361492448,0.013185474928931,standard_DP,NaiveDataBlocker,2.4,5,30
34.7600907917907,0.494950120576849,0.014239034171158,standard_DP,NaiveDataBlocker,2.4,6,30
34.6357482638577,0.488900502799858,0.014115488398731,standard_DP,NaiveDataBlocker,2.6,1,30
34.6441210605351,0.36544326954769,0.010548493030293,standard_DP,NaiveDataBlocker,2.6,2,30
34.656599463857,0.435285171912543,0.012559950446566,standard_DP,NaiveDataBlocker,2.6,3,30
34.7298998937806,0.444122980385171,0.012787914210623,standard_DP,NaiveDataBlocker,2.6,4,30
34.6210696239978,0.367286088058519,0.010608744676217,standard_DP,NaiveDataBlocker,2.6,5,30
34.5741579454616,0.559771944911887,0.016190472253725,standard_DP,NaiveDataBlocker,2.6,6,30
34.5785772064923,0.293084847497803,0.008475908240747,standard_DP,NaiveDataBlocker,2.8,1,30
34.6182475339392,0.393409762886622,0.011364231031653,standard_DP,NaiveDataBlocker,2.8,2,30
34.624055809019,0.377233365275636,0.010895123533661,standard_DP,NaiveDataBlocker,2.8,3,30
34.6402185512674,0.289179692193713,0.008348090869165,standard_DP,NaiveDataBlocker,2.8,4,30
34.6936297049291,0.493646314522794,0.014228730712851,standard_DP,NaiveDataBlocker,2.8,5,30
34.5979358595309,0.289055234394366,0.008354695943941,standard_DP,NaiveDataBlocker,2.8,6,30
34.6292670989861,0.252219544138997,0.007283421373546,standard_DP,NaiveDataBlocker,3,1,30
34.5973256909791,0.322081967848394,0.009309446941801,standard_DP,NaiveDataBlocker,3,2,30
34.7139031422097,0.453732719103433,0.013070633896876,standard_DP,NaiveDataBlocker,3,3,30
34.5517021919671,0.282090318296812,0.008164295834965,standard_DP,NaiveDataBlocker,3,4,30
34.5610589537949,0.366791570043053,0.010612856814759,standard_DP,NaiveDataBlocker,3,5,30
34.6456568519518,0.426613309122915,0.012313615843565,standard_DP,NaiveDataBlocker,3,6,30
34.5002021587407,0.348558520874349,0.010103086331801,standard_DP,NaiveDataBlocker,3.2,1,30
34.5168273882853,0.367954817110368,0.010660157521756,standard_DP,NaiveDataBlocker,3.2,2,30
34.6795439847698,0.296868132885879,0.008560324005882,standard_DP,NaiveDataBlocker,3.2,3,30
34.5835473315292,0.278130825147445,0.00804228734783,standard_DP,NaiveDataBlocker,3.2,4,30
34.5271998238059,0.322163221786175,0.009330708062924,standard_DP,NaiveDataBlocker,3.2,5,30
34.5694263099558,0.403598182729044,0.011675003776757,standard_DP,NaiveDataBlocker,3.2,6,30
34.5498597462016,0.243480892291772,0.007047232436842,standard_DP,NaiveDataBlocker,3.4,1,30
34.5800788025546,0.235072427638327,0.006797914746827,standard_DP,NaiveDataBlocker,3.4,2,30
34.5215362427805,0.298604429224897,0.008649801304464,standard_DP,NaiveDataBlocker,3.4,3,30
34.5954872980556,0.339171580932461,0.00980392552388,standard_DP,NaiveDataBlocker,3.4,4,30
34.684107637834,0.302106144688613,0.008710218173786,standard_DP,NaiveDataBlocker,3.4,5,30
34.6305648745615,0.276246234173854,0.00797694854746,standard_DP,NaiveDataBlocker,3.4,6,30
34.6828003403142,0.235206276490455,0.006781640299588,standard_DP,NaiveDataBlocker,3.6,1,30
34.6750874487624,0.244388246165892,0.007047948949718,standard_DP,NaiveDataBlocker,3.6,2,30
34.5381396595485,0.379518374534476,0.010988384964433,standard_DP,NaiveDataBlocker,3.6,3,30
34.5056563768759,0.245450647745853,0.007113345274902,standard_DP,NaiveDataBlocker,3.6,4,30
34.5789641136092,0.231128714530385,0.006684084397989,standard_DP,NaiveDataBlocker,3.6,5,30
34.5165338824743,0.275407676435159,0.007979007317852,standard_DP,NaiveDataBlocker,3.6,6,30
34.6536519829555,0.206563164855297,0.005960790653663,standard_DP,NaiveDataBlocker,3.8,1,30
34.6200894381618,0.389177682413467,0.011241382929083,standard_DP,NaiveDataBlocker,3.8,2,30
34.6162025446167,0.246412858638805,0.007118425492259,standard_DP,NaiveDataBlocker,3.8,3,30
34.6238004678035,0.260027880014783,0.007510090645785,standard_DP,NaiveDataBlocker,3.8,4,30
34.5810402675686,0.230638434616384,0.006669505394628,standard_DP,NaiveDataBlocker,3.8,5,30
34.6396742432772,0.325012862963996,0.009382676658025,standard_DP,NaiveDataBlocker,3.8,6,30
34.6488579927085,0.206470356439154,0.00595893684238,standard_DP,NaiveDataBlocker,4,1,30
34.6376678578268,0.252825520485472,0.007299149628757,standard_DP,NaiveDataBlocker,4,2,30
34.6609707107761,0.153880919382097,0.004439602129615,standard_DP,NaiveDataBlocker,4,3,30
34.5983677611687,0.220536742636478,0.006374194995522,standard_DP,NaiveDataBlocker,4,4,30
34.6271453672132,0.31665939393525,0.009144831044464,standard_DP,NaiveDataBlocker,4,5,30
34.6432711162022,0.23353881718632,0.006741246125488,standard_DP,NaiveDataBlocker,4,6,30
34.628420040141,0.268435580185314,0.007751886452635,standard_DP,NaiveDataBlocker,4.2,1,30
34.5788100870007,0.286825406952195,0.008294831610184,standard_DP,NaiveDataBlocker,4.2,2,30
34.6220129807216,0.279359746057817,0.008068847591657,standard_DP,NaiveDataBlocker,4.2,3,30
34.6324123546161,0.271942169766144,0.007852244509612,standard_DP,NaiveDataBlocker,4.2,4,30
34.6087892334165,0.268228012783118,0.007750285945402,standard_DP,NaiveDataBlocker,4.2,5,30
34.5766474091488,0.226525380962613,0.006551398065929,standard_DP,NaiveDataBlocker,4.2,6,30
34.587521171652,0.314804477436067,0.009101677910763,standard_DP,NaiveDataBlocker,4.4,1,30
34.6050668919705,0.261051448848881,0.007543734842757,standard_DP,NaiveDataBlocker,4.4,2,30
34.6356390346727,0.342679906600815,0.009893852579355,standard_DP,NaiveDataBlocker,4.4,3,30
34.5965197624929,0.22670899585537,0.006552942244241,standard_DP,NaiveDataBlocker,4.4,4,30
34.5691797898278,0.264055104154585,0.007638454419803,standard_DP,NaiveDataBlocker,4.4,5,30
34.5343935830813,0.276635708099016,0.008010440589712,standard_DP,NaiveDataBlocker,4.4,6,30
34.6379812571422,0.269457511303257,0.007779249873221,standard_DP,NaiveDataBlocker,4.6,1,30
34.5457047966129,0.287712790756063,0.008328467821107,standard_DP,NaiveDataBlocker,4.6,2,30
34.5795045552915,0.236191005336175,0.006830375633593,standard_DP,NaiveDataBlocker,4.6,3,30
34.5385885329511,0.256265403047363,0.007419683719932,standard_DP,NaiveDataBlocker,4.6,4,30
34.5873057227647,0.193054655761442,0.005581662165561,standard_DP,NaiveDataBlocker,4.6,5,30
34.6113540332408,0.226803964091145,0.006552877528955,standard_DP,NaiveDataBlocker,4.6,6,30
34.6206351423355,0.268776382509238,0.00776347347194,standard_DP,NaiveDataBlocker,4.8,1,30
34.6371481636279,0.238094034587939,0.0068739502878,standard_DP,NaiveDataBlocker,4.8,2,30
34.547325231317,0.20407550443086,0.005907128932976,standard_DP,NaiveDataBlocker,4.8,3,30
34.5442384958803,0.21544808226746,0.00623687455994,standard_DP,NaiveDataBlocker,4.8,4,30
34.6214829218999,0.250495357369399,0.007235257886974,standard_DP,NaiveDataBlocker,4.8,5,30
34.5364442914571,0.192937351324729,0.005586485675726,standard_DP,NaiveDataBlocker,4.8,6,30
34.611225338555,0.209241419392781,0.006045478521666,standard_DP,NaiveDataBlocker,5,1,30
34.6067171384059,0.165120586589815,0.004771344994367,standard_DP,NaiveDataBlocker,5,2,30
